name,co2 uptake,co2 error,n2 uptake,n2 error
1100727_F_pacman,0.001496185,0.000526878,0.04990655,0.004247477
1100727_R_pacman,0,0,0,0
1100728_F_pacman,0.00446838,0.000787565,0.2332917,0.01914175
1100728_R_pacman,0,0,0,0
1100729_F_pacman,0.003260175,0.00124728,0.2034745,0.02491596
1100729_R_pacman,0,0,0,0
1100772_F_pacman,0.000333485,0.000347929,0.001891552,0.000480062
1100772_R_pacman,0,0,0,0
1101175_A_pacman,0,0,0.0107921,0.003781686
1101175_F_pacman,0,0,0,0
1101175_R_pacman,0,0,0,0
1101177_A_pacman,0.3630045,0.02799275,0.2488174,0.02597155
1101177_F_pacman,0.008823682,0.002838142,0.1032354,0.01504906
1101177_R_pacman,0,0,0,0
1101195_A_pacman,2.032451,0.1520262,0.09332044,0.01263378
1101195_F_pacman,0.01648777,0.004894183,0.08250874,0.01502257
1101195_R_pacman,0,0,0,0
1101199_A_pacman,0.304835,0.08399009,0.2289082,0.03252703
1101199_F_pacman,0.01273773,0.007562284,0.0945483,0.02475161
1101199_R_pacman,0,0,0,0
1101200_A_pacman,0.1461972,0.03370169,0.2623879,0.03653612
1101200_F_pacman,0.02800438,0.01639691,0.1181257,0.00842877
1101200_R_pacman,7.04E-07,1.95E-06,0.006763548,0.006009046
1101211_A_pacman,4.392833,0.1687156,0.01848153,0.003437387
1101211_F_pacman,0.0996702,0.01436396,0.1421986,0.01652159
1101211_R_pacman,0,0,0,0
1101216_A_pacman,2.09614,0.1154163,0.1032989,0.02127193
1101216_F_pacman,0.01287534,0.004045286,0.08490131,0.01567718
1101216_R_pacman,0,0,0,0
1101217_A_pacman,2.029328,0.1006559,0.09451495,0.02911951
1101217_F_pacman,0.0180668,0.004577393,0.07939772,0.01906124
1101217_R_pacman,0,0,0,0
1503321_A_pacman,0.008216515,0.00445076,0.09288517,0.006084184
1503321_R_pacman,0,0,0,0
1504785_F_pacman,0.001645948,0.00089682,0.1540695,0.01094821
1504785_R_pacman,0,0,0,0
1505303_F_pacman,0.001689462,0.000604134,0.1001419,0.002169792
1505303_R_pacman,0,0,0,0
1505372_F_pacman,0.00224632,0.001688745,0.1457987,0.01907397
1505372_R_pacman,0,0,0,0
1505750_A_pacman,0.3470043,0.03176268,0.02734573,0.004908316
1505750_F_pacman,0.004617136,0.003018252,0.01689764,0.004839188
1505750_R_pacman,0,0,0,0
1507799_R_pacman,0.00035038,0.000126222,0.1496239,0.003387493
1507817_F_pacman,0.001151373,9.31E-05,0.1469569,0.006837242
1507817_R_pacman,0,0,0,0
1507895_A_pacman,1.821429,0.05539258,0.1306668,0.005535852
1507895_R_pacman,0,0,0,0
1507904_F_pacman,0.005365283,0.000984765,0.4409605,0.02418865
1507904_R_pacman,0,0,0,0
1507920_R_pacman,0.00027436,3.53E-05,0.07309972,0.00337518
1508087_A_pacman,0.000238874,7.21E-05,0.143536,0.007098252
1508087_R_pacman,0.000196899,4.37E-05,0.1356733,0.005382064
1508222_A_pacman,0.1146852,0.04110653,0.05698242,0.005168643
1508222_F_pacman,8.39E-05,0.000105319,0.00143775,0.000826948
1508222_R_pacman,0,0,0,0
1512471_R_pacman,0.002941929,0.001035722,0.1818216,0.008293751
1512639_A_pacman,0.6021048,0.09366431,0.03911202,0.01111012
1512639_F_pacman,0.000161639,0.00014225,0.01841777,0.002663325
1512639_R_pacman,0,0,0,0
1512698_A_pacman,0.01180769,0.002118879,0.533227,0.03798195
1512698_F_pacman,0.02696807,0.008103505,0.4662119,0.04708334
1512698_R_pacman,0,0,0,0
1512699_A_pacman,0.009709353,0.001247327,0.3571348,0.01298509
1512699_R_pacman,0,0,0,0
1512700_A_pacman,0.00684521,0.000402899,0.3066067,0.01941028
1512700_R_pacman,0,0,0,0
1512701_A_pacman,0.007003304,0.001232917,0.2806428,0.02211001
1512701_R_pacman,0,0,0,0
1512757_F_pacman,0.004296762,0.002931169,0.223175,0.030211
1512757_R_pacman,0,0,3.84E-05,8.83E-05
1512759_F_pacman,0.000291942,0.0001834,0.03417566,0.008852033
1512759_R_pacman,0,0,0,0
1512770_A_pacman,0.0188115,0.001483811,0.4110724,0.02206861
1512770_R_pacman,0,0,0,0
1512771_A_pacman,0.02136581,0.002171975,0.4011093,0.02369303
1512771_R_pacman,0,0,0,0
1512808_A_pacman,1.361679,0.03997037,0.07017097,0.009215307
1512808_F_pacman,0.03754956,0.01537916,0.0380707,0.009072497
1512808_R_pacman,2.80E-05,2.22E-05,0.02195014,0.007723594
1512809_A_pacman,1.352936,0.05826078,0.05713772,0.006582531
1512809_F_pacman,0.06057364,0.01988717,0.03000378,0.003676517
1512809_R_pacman,0,0,0,0
1512975_A_pacman,0.001934105,0.000636445,0.1265581,0.01132857
1512975_R_pacman,0,0,0,0
1512989_A_pacman,0.008871563,0.001108619,0.3276006,0.03914794
1512989_F_pacman,0.01082368,0.002227019,0.2993475,0.01320852
1512989_R_pacman,0,0,0,0
1513353_F_pacman,0.000308159,3.48E-05,0.07129453,0.003219127
1513353_R_pacman,0.00028196,9.33E-05,0.05266606,0.001000384
1513702_IF_pacman,0.008533681,0.004115473,0.1540328,0.01019862
1513702_R_pacman,0,0,0,0
1513864_R_pacman,0.000312141,0.000130897,0.14746,0.004861045
1514156_A_pacman,0.005389663,0.000647408,0.3930297,0.04404907
1514156_R_pacman,0.00656328,0.000655076,0.3047001,0.02922973
1514433_F_pacman,0.000352277,6.16E-05,0.09288102,0.00432272
1514433_R_pacman,0,0,0,0
1514443_R_pacman,0.005602188,0.000717508,0.4224172,0.0240688
1514444_R_pacman,1.01E-05,1.38E-05,0.000503552,0.000234227
1514452_R_pacman,0.00068947,0.000211485,0.1932696,0.01205125
1514468_IF_pacman,0.001393554,0.000180657,0.1537202,0.01010806
1514468_R_pacman,0.000980408,0.000308263,0.0717782,0.009708285
1514473_R_pacman,0.000183593,0.000100254,0.07141292,0.002340585
1515064_F_pacman,0.003866029,0.000676098,0.2345493,0.01029196
1515064_R_pacman,0,0,0,0
1515070_F_pacman,0.004195097,0.000745095,0.3708369,0.02130393
1515070_R_pacman,0.000334509,0.000830689,0.02874292,0.01767662
1515146_F_pacman,0.000150181,6.81E-05,0.1188496,0.00460414
1515146_R_pacman,4.09E-05,5.45E-05,0.03120539,0.001950651
1515192_F_pacman,0.000787355,0.000189645,0.1045964,0.005863703
1515192_R_pacman,0.000944218,0.000153156,0.1267083,0.004175523
1515347_A_pacman,0.002165211,0.000584808,0.1163639,0.006844711
1515347_F_pacman,0.000790387,0.00025348,0.08673177,0.004552134
1515347_R_pacman,0.000957697,0.000273824,0.08563283,0.002990887
1515826_R_pacman,0.000241462,5.04E-05,0.06754389,0.004001464
1515827_R_pacman,0.000537458,0.000125129,0.09448476,0.005388701
1515828_R_pacman,0,0,0,0
1515963_R_pacman,0.002259407,0.000280135,0.2689641,0.01392769
1515964_R_pacman,0.001531488,0.000334185,0.2212384,0.01094918
1516600_A_pacman,0.1012242,0.06448353,0.2178654,0.01058355
1516600_R_pacman,0.001289271,0.000224515,0.1693477,0.007903673
1516601_A_pacman,0.4961096,0.08358259,0.2609183,0.006134321
1516601_R_pacman,0.001335923,0.000144903,0.1647817,0.01200434
1516602_A_pacman,0.5569894,0.1923613,0.2602794,0.01952979
1516602_R_pacman,0.001575085,0.000302939,0.1629004,0.007617397
1516790_IF_pacman,0.007315471,0.000775678,0.2624381,0.01229497
1516790_R_pacman,0.03487532,0.02183256,0.2594375,0.02934782
1516896_R_pacman,4.24E-06,1.18E-05,0.001510827,0.000589099
1516917_F_pacman,0.001069056,0.000867341,0.008711356,0.001977367
1516917_R_pacman,0.000872686,0.00034595,0.02540997,0.005226167
1516918_F_pacman,0.000412868,9.44E-05,0.01146917,0.00439853
1516918_R_pacman,0.000720283,0.000771708,0.02201385,0.007813235
1516919_F_pacman,0.000584473,0.000180951,0.01086475,0.002217334
1516919_R_pacman,0.000456369,0.000195894,0.03416728,0.006876758
1516920_F_pacman,0.000553033,0.000349226,0.0106135,0.004107212
1516920_R_pacman,0.000508664,0.001041967,0.01346003,0.008592694
1516922_F_pacman,9.63E-05,6.63E-05,0.00807451,0.001480182
1516922_R_pacman,2.34E-05,5.44E-05,0.001104644,0.001126979
1516975_R_pacman,0.00029422,0.000120998,0.1454932,0.004102232
1517043_F_pacman,0.001717346,0.002641414,0.004853435,0.000786205
1517043_R_pacman,0,0,0,0
1517058_F_pacman,0.000517567,0.001381338,0.002181304,0.001796646
1517058_R_pacman,0,0,0,0
1517148_A_pacman,0.001235087,0.000274206,0.1482621,0.005395892
1517148_R_pacman,0,0,0,0
1517297_F_pacman,0.002230999,0.000676147,0.1862538,0.01852515
1517297_R_pacman,0,0,0,0
1517465_A_pacman,0.000705936,7.14E-05,0.1512115,0.005156808
1517465_R_pacman,0.000266798,5.27E-05,0.0648949,0.002474519
1517466_A_pacman,0.000983874,0.000146296,0.1276288,0.00309356
1517466_R_pacman,0.000194342,2.90E-05,0.04431399,0.002599004
1517467_F_pacman,0.000472825,5.44E-05,0.1128914,0.003702762
1517467_R_pacman,0,0,0,0
1517468_A_pacman,0.000795244,0.000143373,0.119465,0.003154714
1517468_R_pacman,0.000104764,1.72E-05,0.03660483,0.002094753
1517469_F_pacman,0.000656246,6.82E-05,0.1476411,0.003072889
1517469_R_pacman,0.000282234,8.08E-05,0.06030736,0.002606668
1517495_R_pacman,0.001387936,0.000180446,0.1956713,0.012042
1517577_A_pacman,0.004929083,0.00349578,0.1431999,0.0133262
1517577_R_pacman,0.001248418,0.000315044,0.1225666,0.005181626
1517579_R_pacman,0.00533131,0.001104837,0.2118885,0.01117456
1517581_A_pacman,0.002114388,0.000524286,0.1939144,0.007097202
1517581_R_pacman,0,0,0,0
1517582_A_pacman,0.000851042,0.000215038,0.1439039,0.006751329
1517582_F_pacman,0.001166887,0.000311105,0.1450951,0.006437061
1517582_R_pacman,0,0,0,0
1517583_A_pacman,0.002677853,0.000448666,0.3039121,0.0106466
1517583_R_pacman,0,0,0,0
1517584_A_pacman,0.006767931,0.002047812,0.2311783,0.02596298
1517584_R_pacman,0,0,0,0
1517587_A_pacman,0.01296091,0.000830717,0.2624611,0.01730881
1517587_R_pacman,0,0,0,0
1517589_A_pacman,0.005580727,0.000386383,0.2509022,0.01345489
1517589_R_pacman,0,0,0,0
1517590_A_pacman,0.007582408,0.000827303,0.275158,0.02066475
1517590_R_pacman,0,0,0,0
