name,co2 uptake,co2 error,n2 uptake,n2 error
1100727_F_pacman,0.1116522,0.01464628,0.03871197,0.007161221
1100727_R_pacman,0,0,0,0
1100728_F_pacman,0.3878716,0.0228466,0.1693367,0.01509837
1100728_R_pacman,0,0,0,0
1100729_F_pacman,0.3199072,0.03931013,0.1603167,0.02206816
1100729_R_pacman,0,0,0,0
1100772_F_pacman,0.06747059,0.02084941,0.002404772,0.000487879
1100772_R_pacman,0,0,0,0
1101175_A_pacman,0.02027902,0.0253061,0.003260106,0.001672216
1101175_F_pacman,0,0,0,0
1101175_R_pacman,0,0,0,0
1101177_A_pacman,0.5534847,0.04643656,0.1636298,0.006219096
1101177_F_pacman,0.2079172,0.03699584,0.04072265,0.005853277
1101177_R_pacman,0,0,0,0
1101195_A_pacman,0.1999179,0.01855394,0.09281317,0.00345745
1101195_F_pacman,0.04806436,0.01098048,0.03264899,0.008759404
1101195_R_pacman,0,0,0,0
1101199_A_pacman,0.5534847,0.04643656,0.1636298,0.006219096
1101199_F_pacman,0.2079172,0.03699584,0.04072265,0.005853277
1101199_R_pacman,0,0,0,0
1101200_A_pacman,0.4639158,0.05149881,0.1619176,0.01600033
1101200_F_pacman,0.2391693,0.01465529,0.07101144,0.006957347
1101200_R_pacman,0,0,0.003289214,0.00049972
1101211_A_pacman,0.2342428,0.01261911,0.1505715,0.007343849
1101211_F_pacman,0.1376471,0.01276065,0.07535549,0.007976267
1101211_R_pacman,0,0,0,0
1101216_A_pacman,0.2086294,0.02008624,0.09769893,0.01237108
1101216_F_pacman,0.06041688,0.01015346,0.02965732,0.005235446
1101216_R_pacman,0,0,0,0
1101217_A_pacman,0.2038203,0.03227715,0.08642829,0.005670269
1101217_F_pacman,0.04657268,0.00855762,0.03167604,0.003654094
1101217_R_pacman,0,0,0,0
1503321_A_pacman,0.1144658,0.01856333,0.05054328,0.005950631
1503321_R_pacman,0,0,0,0
1504785_F_pacman,0.3029593,0.07980373,0.1272886,0.02038206
1504785_R_pacman,0,0,0,0
1505303_F_pacman,0.08389619,0.03167557,0.06601172,0.008351403
1505303_R_pacman,0,0,0,0
1505372_F_pacman,0.1472458,0.04675573,0.09098658,0.01231885
1505372_R_pacman,0,0,0,0
1505750_A_pacman,0.02048658,0.003735863,0.01595236,0.001715331
1505750_F_pacman,0.01168707,0.002439672,0.007733746,0.001663246
1505750_R_pacman,0,0,0,0
