name,KH,error
1100727_F_pacman,4.40E-07,1.03E-08
1100727_R_pacman,6.76E-13,1.57E-13
1100728_F_pacman,1.43E-06,9.50E-09
1100728_R_pacman,8.01E-18,2.58E-18
1100729_F_pacman,1.31E-06,1.25E-08
1100729_R_pacman,2.21E-14,5.86E-15
1100772_F_pacman,3.53E-07,1.61E-08
1100772_R_pacman,3.35E-62,4.74E-62
1101175_A_pacman,4.05E-07,8.81E-09
1101175_F_pacman,1.96E-15,2.19E-16
1101175_R_pacman,0,0
1101177_A_pacman,1.70E-06,3.68E-08
1101177_F_pacman,7.55E-07,8.09E-09
1101177_R_pacman,1.46E-89,1.44E-89
1101195_A_pacman,8.43E-07,1.03E-08
1101195_F_pacman,3.87E-07,8.04E-09
1101195_R_pacman,1.17E-37,1.10E-37
1101199_A_pacman,1.70E-06,3.68E-08
1101199_F_pacman,7.55E-07,8.09E-09
1101199_R_pacman,1.46E-89,1.44E-89
1101200_A_pacman,1.66E-06,2.12E-08
1101200_F_pacman,8.79E-07,2.08E-08
1101200_R_pacman,2.13E-07,1.09E-08
1101211_A_pacman,1.22E-06,9.10E-09
1101211_F_pacman,8.60E-07,9.70E-09
1101211_R_pacman,4.13E-43,3.39E-43
1101216_A_pacman,9.22E-07,8.24E-09
1101216_F_pacman,4.00E-07,1.28E-08
1101216_R_pacman,1.14E-33,8.96E-34
1101217_A_pacman,8.41E-07,8.84E-09
1101217_F_pacman,3.82E-07,5.30E-09
1101217_R_pacman,1.17E-37,1.10E-37
1503321_A_pacman,8.18E-07,1.04E-08
1503321_R_pacman,8.16E-20,3.34E-20
1504785_F_pacman,1.27E-06,1.99E-08
1504785_R_pacman,2.84E-09,4.83E-10
1505303_F_pacman,4.78E-07,9.33E-09
1505303_R_pacman,5.49E-14,2.63E-14
1505372_F_pacman,7.50E-07,3.17E-08
1505372_R_pacman,2.20E-12,1.26E-12
1505750_A_pacman,2.00E-07,2.68E-09
1505750_F_pacman,1.18E-07,2.49E-09
1505750_R_pacman,4.49E-13,1.05E-13
1507799_R_pacman,1.82E-06,4.32E-09
1507817_F_pacman,8.30E-07,9.19E-09
1507817_R_pacman,1.92E-11,2.50E-12
1507895_A_pacman,8.00E-07,9.42E-09
1507895_R_pacman,3.40E-22,3.56E-22
1507904_F_pacman,2.09E-06,3.91E-08
1507904_R_pacman,1.33E-19,5.16E-20
1507920_R_pacman,6.87E-07,9.77E-09
1508087_A_pacman,1.94E-06,7.06E-09
1508087_R_pacman,1.83E-06,6.34E-09
1508222_A_pacman,4.97E-07,5.30E-09
1508222_F_pacman,6.57E-08,2.54E-09
1508222_R_pacman,5.85E-26,2.87E-26
1512471_R_pacman,9.07E-07,2.16E-08
1512639_A_pacman,2.90E-07,3.95E-09
1512639_F_pacman,2.60E-07,3.44E-09
1512639_R_pacman,7.62E-11,5.71E-12
1512698_A_pacman,2.58E-06,2.07E-08
1512698_F_pacman,2.41E-06,2.33E-08
1512698_R_pacman,6.80E-16,1.69E-16
1512699_A_pacman,2.37E-06,3.05E-08
1512699_R_pacman,1.81E-13,3.28E-14
1512700_A_pacman,2.15E-06,2.29E-08
1512700_R_pacman,1.31E-10,2.53E-11
1512701_A_pacman,1.91E-06,1.93E-08
1512701_R_pacman,6.21E-19,3.60E-19
1512757_F_pacman,1.38E-06,2.17E-08
1512757_R_pacman,6.14E-08,5.01E-09
1512759_F_pacman,4.62E-07,4.47E-09
1512759_R_pacman,4.13E-10,6.63E-11
1512770_A_pacman,1.94E-06,7.07E-09
1512770_R_pacman,1.67E-15,2.78E-16
1512771_A_pacman,2.00E-06,6.07E-09
1512771_R_pacman,3.01E-16,9.44E-17
1512808_A_pacman,5.20E-07,8.86E-09
1512808_F_pacman,2.87E-07,3.53E-09
1512808_R_pacman,2.49E-07,8.45E-09
1512809_A_pacman,5.17E-07,3.89E-09
1512809_F_pacman,2.94E-07,4.23E-09
1512809_R_pacman,3.78E-15,1.38E-15
1512975_A_pacman,9.34E-07,1.48E-08
1512975_R_pacman,1.53E-18,6.30E-19
1512989_A_pacman,1.87E-06,2.64E-08
1512989_F_pacman,1.75E-06,1.56E-08
1512989_R_pacman,5.15E-10,7.99E-11
1513353_F_pacman,6.35E-07,3.91E-09
1513353_R_pacman,4.86E-07,6.95E-09
1513702_IF_pacman,8.83E-07,5.86E-09
1513702_R_pacman,1.80E-13,4.21E-14
1513864_R_pacman,1.83E-06,5.90E-09
1514156_A_pacman,1.93E-06,2.78E-08
1514156_R_pacman,1.55E-06,1.75E-08
1514433_F_pacman,8.19E-07,5.16E-09
1514433_R_pacman,5.47E-19,2.59E-19
1514443_R_pacman,2.92E-06,4.38E-08
1514444_R_pacman,9.89E-08,3.81E-09
1514452_R_pacman,1.78E-06,1.17E-08
1514468_IF_pacman,9.25E-07,7.45E-09
1514468_R_pacman,4.27E-07,9.99E-09
1514473_R_pacman,8.22E-07,1.19E-09
1515064_F_pacman,1.15E-06,1.23E-08
1515064_R_pacman,5.53E-13,1.10E-13
1515070_F_pacman,2.05E-06,1.83E-08
1515070_R_pacman,2.34E-07,2.04E-08
1515146_F_pacman,1.47E-06,3.06E-09
1515146_R_pacman,4.57E-07,2.24E-09
1515192_F_pacman,9.28E-07,4.80E-09
1515192_R_pacman,7.18E-07,5.67E-09
1515347_A_pacman,8.96E-07,6.95E-09
1515347_F_pacman,7.49E-07,8.20E-09
1515347_R_pacman,7.09E-07,3.73E-09
1515826_R_pacman,5.24E-07,2.19E-09
1515827_R_pacman,7.43E-07,7.78E-09
1515828_R_pacman,4.63E-09,6.40E-11
1515963_R_pacman,1.78E-06,1.05E-08
1515964_R_pacman,1.58E-06,8.59E-09
1516600_A_pacman,1.33E-06,1.41E-08
1516600_R_pacman,1.22E-06,9.71E-09
1516601_A_pacman,1.33E-06,1.19E-08
1516601_R_pacman,1.19E-06,5.82E-09
1516602_A_pacman,1.31E-06,1.84E-08
1516602_R_pacman,1.16E-06,1.05E-08
1516790_IF_pacman,1.55E-06,1.65E-08
1516790_R_pacman,1.42E-06,3.27E-08
1516896_R_pacman,1.66E-07,1.16E-08
1516917_F_pacman,1.23E-07,5.40E-09
1516917_R_pacman,1.11E-07,8.07E-09
1516918_F_pacman,1.25E-07,4.48E-09
1516918_R_pacman,1.14E-07,2.76E-09
1516919_F_pacman,1.21E-07,2.94E-09
1516919_R_pacman,1.33E-07,9.02E-09
1516920_F_pacman,1.17E-07,3.70E-09
1516920_R_pacman,9.13E-08,4.30E-09
1516922_F_pacman,3.60E-07,5.45E-09
1516922_R_pacman,1.38E-07,8.13E-09
1516975_R_pacman,1.75E-06,5.60E-09
1517043_F_pacman,2.92E-07,5.56E-09
1517043_R_pacman,4.77E-10,1.50E-10
1517058_F_pacman,1.81E-07,1.28E-08
1517058_R_pacman,1.88E-29,1.13E-29
1517148_A_pacman,1.10E-06,5.20E-09
1517148_R_pacman,2.41E-32,1.83E-32
1517297_F_pacman,1.39E-06,3.47E-08
1517297_R_pacman,5.09E-10,2.31E-10
1517465_A_pacman,1.29E-06,8.66E-09
1517465_R_pacman,6.84E-07,9.33E-09
1517466_A_pacman,1.08E-06,5.89E-09
1517466_R_pacman,4.91E-07,3.41E-09
1517467_F_pacman,9.87E-07,5.24E-09
1517467_R_pacman,6.04E-13,8.14E-14
1517468_A_pacman,1.07E-06,3.68E-09
1517468_R_pacman,4.25E-07,2.97E-09
1517469_F_pacman,1.25E-06,9.20E-09
1517469_R_pacman,6.20E-07,7.77E-09
1517495_R_pacman,1.67E-06,1.04E-08
1517577_A_pacman,8.87E-07,1.13E-08
1517577_R_pacman,8.14E-07,2.21E-08
1517579_R_pacman,1.06E-06,1.48E-08
1517581_A_pacman,1.47E-06,9.79E-09
1517581_R_pacman,8.24E-13,3.72E-13
1517582_A_pacman,1.41E-06,8.18E-09
