name,KH,error
1100727_F_pacman,2.370401e-05,6.947051e-06
1100727_R_pacman,3.617433e-10,2.522842e-10
1100728_F_pacman,2.323115e-05,1.132812e-06
1100728_R_pacman,7.711731e-15,4.918414e-15
1100729_F_pacman,2.814797e-05,1.317869e-06
1100729_R_pacman,6.928341e-13,3.638897e-13
1100772_F_pacman,4.517357e-06,4.012375e-07
1100772_R_pacman,5.101123e-45,1.370541e-44
1101175_A_pacman,168.8609,7.546924
1101175_F_pacman,1.260568e-05,9.275634e-06
1101175_R_pacman,0.0,0.0
1101177_A_pacman,523.8977,232.2298
1101177_F_pacman,0.1545688,0.05966202
1101177_R_pacman,1.823969e-78,2.375329e-78
1101195_A_pacman,126432500000.0,88728410000.0
1101195_F_pacman,0.00068899,5.432226e-05
1101195_R_pacman,4.54127e-28,1.153461e-27
1101199_A_pacman,488.6238,219.9891
1101199_F_pacman,0.1922592,0.07494249
1101199_R_pacman,1.841045e-78,2.429257e-78
1101200_A_pacman,962.8563,414.2327
1101200_F_pacman,0.04524968,0.008503336
1101200_R_pacman,1.36812e-06,5.885151e-08
1101211_A_pacman,904533400.0,616798700.0
1101211_F_pacman,0.03355595,0.01360311
1101211_R_pacman,7.082274e-30,1.752745e-29
1101216_A_pacman,199358100000.0,189606800000.0
1101216_F_pacman,0.003092921,0.0008633099
1101216_R_pacman,2.48523e-25,3.760482e-25
1101217_A_pacman,95460270000.0,36505950000.0
1101217_F_pacman,0.0006543674,6.651629e-05
1101217_R_pacman,4.935352e-28,1.256678e-27
1503321_A_pacman,0.00914569,0.002782468
1503321_R_pacman,1.832163e-17,9.826681e-18
1504785_F_pacman,3.62238e-06,9.256072e-08
1504785_R_pacman,7.783242e-09,1.047263e-09
1505303_F_pacman,0.000183743,9.971767e-06
1505303_R_pacman,5.596386e-11,3.405174e-11
1505372_F_pacman,0.000110909,1.772881e-05
1505372_R_pacman,1.722084e-09,1.721505e-09
1505750_A_pacman,4363856.0,5522031.0
1505750_F_pacman,0.0006698684,0.0001511112
1505750_R_pacman,1.976642e-06,1.77664e-06
1507799_R_pacman,2.74126e-06,3.367561e-08
1507817_F_pacman,1.300332e-05,6.478852e-07
1507817_R_pacman,5.041075e-10,7.824044e-11
1507895_A_pacman,5789907000.0,13392280000.0
1507895_R_pacman,1.21058e-17,3.036544e-17
1507904_F_pacman,4.124435e-05,3.117744e-06
1507904_R_pacman,2.450067e-10,4.113086e-10
1507920_R_pacman,5.559569e-06,4.152049e-07
1508087_A_pacman,5.670472e-06,8.766092e-07
1508087_R_pacman,2.035971e-05,2.218175e-06
1508222_A_pacman,121.8521,78.5095
1508222_F_pacman,6.693992e-05,1.733256e-05
1508222_R_pacman,1.038829e-23,8.145578e-24
1512471_R_pacman,0.0001193841,1.395889e-05
1512639_A_pacman,1.90928e+16,1.395432e+16
1512639_F_pacman,0.001485223,0.0003543948
1512639_R_pacman,1.297839e-05,8.659549e-06
1512698_A_pacman,0.0001980497,6.205971e-05
1512698_F_pacman,0.0005549187,4.0364e-05
1512698_R_pacman,1.572391e-13,1.398286e-13
1512699_A_pacman,0.005390822,0.00118815
1512699_R_pacman,1.906305e-12,7.234304e-13
1512700_A_pacman,0.0007393015,6.443378e-05
