name,LCD_0,PLD_0,LFPD_0,volume_0,density_0,VF_0,PV_0,LCD_1,PLD_1,LFPD_1,volume_1,density_1,VF_1,PV_1,delta_PLD,delta_LCD,delta_PV
ABEXEM_clean,4.82084,4.14331,4.80387,2633.04,1.76082,0.494,0.280551,3.67775,3.10795,3.67775,2232.01,2.07719,0.397,0.191123,1.03536,1.14309,0.089428
ABEXIQ_clean,4.80529,4.06893,4.80529,2602.59,1.7876,0.4776,0.267174,3.59136,2.9812,3.44729,2128.06,2.18621,0.3822,0.174823,1.08773,1.21393,0.092351
ABEXOW_clean,4.7727,4.04921,4.7549,2572.73,1.81243,0.5026,0.277307,3.56768,2.98141,3.56495,2150.93,2.16786,0.4026,0.185713,1.0678,1.20502,0.091594
ABEXUC_clean,4.74458,4.0168,4.72731,2546.99,1.84813,0.4864,0.263185,3.49908,2.93559,3.48101,2131.95,2.20792,0.3888,0.176093,1.08121,1.2455,0.087092
ABEYAJ_clean,4.73097,3.9715,4.71386,2511.78,1.90641,0.4682,0.245593,3.54428,2.94703,3.52491,2124.39,2.25405,0.3666,0.16264,1.02447,1.18669,0.082953
ABEYEN_clean,4.70447,3.94356,4.68752,2493.02,1.9293,0.4642,0.240606,3.57548,2.99168,3.55524,2146.53,2.24073,0.3716,0.165839,0.95188,1.12899,0.074767
ABEYIR_clean,4.69665,3.92184,4.69665,2477.63,1.96962,0.464,0.235578,3.49226,2.84358,3.47139,2074.89,2.35193,0.3664,0.155787,1.07826,1.20439,0.079791
ACAJOF_clean,6.86398,6.10482,6.86398,3191.38,1.21871,0.513,0.420936,6.22414,5.6616,6.22414,3126.66,1.24394,0.4818,0.387318,0.44322,0.63984,0.033618
ACODON_clean,7.1439,4.65537,7.12384,3402.63,1.14924,0.598,0.520346,7.15076,4.33309,7.1287,3411.8,1.14615,0.586,0.511278,0.32228,0.00686,0.009068
ADOGEH_clean,12.68927,5.04587,12.68927,4565.31,1.01991,0.6818,0.668489,7.24102,3.31568,7.22388,3613.19,1.28867,0.558,0.433004,1.73019,5.44825,0.235485
ADUWIH_clean,9.28386,6.55138,8.99777,10752.9,0.722123,0.7098,0.982935,10.58514,6.55817,10.51532,11413,0.680359,0.721,1.05973,0.00679,1.30128,0.076795
ADUWON_clean,16.38544,5.99291,16.38544,13518.9,0.521247,0.7736,1.48413,17.48385,4.23074,17.48385,10996.1,0.640834,0.7114,1.11012,1.76217,1.09841,0.37401
AGUTUS_clean,3.68088,2.53188,3.63702,1637.57,1.36197,0.493,0.361976,2.39229,1.22426,1.84605,1235.39,1.80536,0.2914,0.161409,1.30762,1.28859,0.200567
AGUWUV_clean,4.50011,3.32227,4.47386,791.15,1.51212,0.4742,0.313599,3.53147,2.25432,3.45552,629.507,1.9004,0.3582,0.188486,1.06795,0.96864,0.125113
AHOJUC_clean,3.5771,2.70033,3.5771,677.046,2.04926,0.4226,0.206221,2.34123,1.61982,2.26568,500.922,2.76977,0.245,0.0884549,1.08051,1.23587,0.1177661
AHOKAJ_clean,3.60686,2.77173,3.60686,679.921,2.08849,0.421,0.201581,3.23351,2.83717,3.23351,733.684,1.93545,0.4602,0.237775,0.06544,0.37335,0.036194
AKEDIF_clean,5.93786,5.31334,5.92561,1843.27,0.925851,0.593,0.640492,2.0351,1.00595,2.02562,1116.64,1.52833,0.3054,0.199826,4.30739,3.90276,0.440666
ANUGEW_clean,14.4419,10.20511,14.4419,13618.7,0.443469,0.827,1.86484,15.04316,11.15677,15.04316,14324.4,0.421622,0.8302,1.96906,0.95166,0.60126,0.10422
ANUGIA_clean,13.87345,6.777,12.0868,5310.8,0.567973,0.7876,1.38669,14.03085,7.07557,14.02705,5420.33,0.556495,0.7828,1.40666,0.29857,0.1574,0.01997
ANUGOG_clean,11.39005,7.08849,11.28042,6878.84,0.58467,0.7758,1.3269,12.42627,7.42061,12.41811,7493.48,0.536714,0.7914,1.47453,0.33212,1.03622,0.14763
ARUCOH01_clean,5.59898,2.40016,5.59898,3603.92,1.16753,0.474,0.405985,5.38252,3.13477,5.35954,3657.19,1.15052,0.4664,0.405381,0.73461,0.21646,0.000604
ARUCUN_clean,5.23679,2.4383,5.22278,1790.39,1.17134,0.4886,0.417131,4.63588,1.79893,4.63588,1664.1,1.26023,0.4362,0.346128,0.63937,0.60091,0.071003
ARUDAU_clean,5.48855,2.55093,5.48855,1826.7,1.14806,0.4956,0.431687,4.63797,1.79682,4.63797,1665.47,1.25919,0.4366,0.34673,0.75411,0.85058,0.084957
ASACON_clean,6.40616,5.08657,6.3959,2964.91,1.7783,0.4508,0.2535,6.19848,4.74757,6.19848,2953.93,1.78491,0.4456,0.249648,0.339,0.20768,0.003852
ASADAA_clean,5.76705,4.61254,5.76705,2830.39,1.521,0.5144,0.338199,5.68093,4.96875,5.66291,2724.12,1.58033,0.4828,0.305506,0.35621,0.08612,0.032693
ASINAT_clean,9.7655,7.73483,9.7655,7486.03,0.727417,0.6748,0.927666,10.76098,7.17112,10.70127,7831.27,0.695349,0.6802,0.978214,0.56371,0.99548,0.050548
ASINEX_clean,12.52181,7.27697,12.38542,16502,0.659976,0.718,1.08792,12.55187,7.16432,12.48903,16876,0.645349,0.7116,1.10266,0.11265,0.03006,0.01474
ASINIB_clean,12.38988,7.22905,12.37103,16296,0.666065,0.707,1.06146,11.82953,7.0575,11.82953,16443.5,0.660089,0.7036,1.06592,0.17155,0.56035,0.00446
ASIVAB_clean,12.30048,7.2633,11.92998,11591.3,0.538243,0.7886,1.46514,12.65602,7.26395,12.23209,11786.1,0.529348,0.7874,1.48749,0.00065,0.35554,0.02235
ASUBIB_clean,6.13583,4.25508,6.13583,1823.61,1.52116,0.532,0.349733,3.80064,1.82974,3.79258,1341.28,2.06818,0.348,0.168264,2.42534,2.33519,0.181469
ATEYED_clean,7.46731,6.2193,7.46731,3801.72,0.467817,0.772,1.65022,5.01449,3.76864,5.01449,1517.73,1.17182,0.41,0.349883,2.45066,2.45282,1.300337
ATOGEV_clean,5.55487,4.3075,5.55487,2118.84,1.61783,0.6026,0.372475,2.27414,0.84184,2.04466,1082.3,3.16727,0.234,0.0738807,3.46566,3.28073,0.2985943
AVIPAX_clean,7.26399,5.25081,7.26386,3915.97,0.96381,0.5882,0.610286,9.28626,7.10208,9.28467,4432.78,0.851442,0.641,0.75284,1.85127,2.02227,0.142554
