feature,importance
f-link-S-0,0.010676073038557148
f-link-Z-2,0.010445355411480733
D_mc-chi-2,0.010008634897986434
f-sbu-S-0,0.009901806132148458
D_mc-chi-3,0.009891621038272739
f-link-Z-0,0.00976960247928505
VF,0.009736669775031034
f-link-Z-1,0.009719574103287982
cell_00,0.009571838490523505
f-link-chi-0,0.009568634748667783
density,0.009464215314551019
cell_22,0.009418454933681717
Dif,0.0093462790324102
f-link-S-1,0.009318021504078232
cell_11,0.009294645829455998
Di,0.009286580762997368
Df,0.009064119752119827
f-sbu-chi-3,0.008970206275079565
f-link-Z-3,0.008905858777213104
f-link-S-2,0.008843218454451221
f-link-T-3,0.008781566020022346
mc-T-3,0.008736060850484261
mc-S-1,0.008721443481000353
f-sbu-chi-0,0.008618519972955464
f-sbu-chi-2,0.008549395233328651
f-sbu-S-1,0.008531731868880305
f-sbu-Z-3,0.0083509667318779
mc-S-3,0.00830704521354251
N_atoms,0.008255100381430026
D_mc-S-1,0.008222033233823579
mc-S-2,0.008216406429963819
D_mc-S-3,0.008144405185355426
mc-Z-3,0.008133387460928546
D_mc-S-2,0.008127877069909556
f-sbu-chi-1,0.008043309832598804
mc-chi-3,0.007926989192746663
f-link-T-1,0.007926909382482854
f-link-T-2,0.00790963314006269
mc-chi-1,0.007870940293555898
mc-Z-2,0.007870162498044049
f-sbu-Z-2,0.007868095237330376
f-sbu-S-3,0.007847796852881492
D_mc-Z-3,0.007805510074107054
f-link-S-3,0.007804124741383117
lc-Z-2,0.007787918274827298
f-link-chi-2,0.0077859065422420945
mc-chi-2,0.007756563853203631
f-link-chi-1,0.007713585015994711
f-sbu-Z-0,0.007696684192135825
D_mc-Z-2,0.007631422615545696
f-link-I-2,0.007456691516012566
f-sbu-T-2,0.007446664637821625
f-sbu-S-2,0.007440571949242398
f-link-chi-3,0.007417032116974511
f-link-T-0,0.007392135602139772
f-link-I-3,0.007349698852866368
D_mc-chi-1,0.00734654210266178
mc-Z-1,0.007298859436190222
f-sbu-Z-1,0.007232430999017962
D_lc-alpha-3,0.007169200624317158
D_mc-Z-1,0.007162951614871907
cell_10,0.007151697981828555
f-sbu-T-3,0.006986968603664612
cell_20,0.006955187523252453
cell_21,0.006868898058085642
mc-chi-0,0.006748675270988783
mc-T-2,0.006690234424870639
f-link-I-0,0.006673847994060758
D_mc-T-3,0.006654732486914924
f-sbu-T-1,0.006582450831221937
D_mc-T-2,0.0065423420092020745
f-sbu-I-3,0.006520757457749559
