feature,importance
D_mc-chi-2,0.04057839941480094
D_mc-chi-3,0.03831746979336735
f-link-S-0,0.037936129377425694
f-link-Z-2,0.03773190229516236
cell_22,0.035996742056583576
VF,0.03535249708486161
density,0.03494010699089745
f-link-chi-0,0.034799464744856824
f-sbu-chi-3,0.0342689617455906
f-link-Z-1,0.0339477573418434
cell_00,0.033858123063717306
f-link-Z-3,0.03374510604595858
f-sbu-S-0,0.03357415703741258
f-link-S-1,0.0334559037069222
cell_11,0.03340429565392631
mc-S-1,0.033048762429137776
f-sbu-chi-2,0.03244753484578429
f-link-Z-0,0.03214123713825398
f-link-T-3,0.0321397364013872
f-sbu-Z-3,0.0321054597437806
Di,0.031583862480190274
mc-S-3,0.03154047095261939
N_atoms,0.03137024529692407
Df,0.03132827911787706
f-sbu-chi-0,0.031327619189045315
f-sbu-S-1,0.03068734177322522
Dif,0.030173729627421507
D_mc-S-1,0.029973339580476585
mc-T-3,0.02987362769694772
f-link-S-2,0.0283517373736022
