N_atoms,cell_00_0,cell_01_0,cell_02_0,cell_10_0,cell_11_0,cell_12_0,cell_20_0,cell_21_0,cell_22_0,volume_0,LCD_0,PLD_0,LFPD_0,density_0,VF_0,PV_0,f-sbu-chi-0,f-sbu-chi-1,f-sbu-chi-2,f-sbu-chi-3,f-sbu-Z-0,f-sbu-Z-1,f-sbu-Z-2,f-sbu-Z-3,f-sbu-I-0,f-sbu-I-1,f-sbu-I-2,f-sbu-I-3,f-sbu-T-0,f-sbu-T-1,f-sbu-T-2,f-sbu-T-3,f-sbu-S-0,f-sbu-S-1,f-sbu-S-2,f-sbu-S-3,mc-chi-0,mc-chi-1,mc-chi-2,mc-chi-3,mc-Z-0,mc-Z-1,mc-Z-2,mc-Z-3,mc-I-0,mc-I-1,mc-I-2,mc-I-3,mc-T-0,mc-T-1,mc-T-2,mc-T-3,mc-S-0,mc-S-1,mc-S-2,mc-S-3,D_mc-chi-0,D_mc-chi-1,D_mc-chi-2,D_mc-chi-3,D_mc-Z-0,D_mc-Z-1,D_mc-Z-2,D_mc-Z-3,D_mc-I-0,D_mc-I-1,D_mc-I-2,D_mc-I-3,D_mc-T-0,D_mc-T-1,D_mc-T-2,D_mc-T-3,D_mc-S-0,D_mc-S-1,D_mc-S-2,D_mc-S-3,f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3
108.0,9.8064,0.0,0.0,2.809220296,10.29199561,0.0,4.903077749,2.9e-05,13.08250207,1320.383256,4.45543,2.4972,4.39809,1.52493,0.3894,0.255355,216.734,413.5808,955.7128,1458.0352,2598.0,6408.0,9508.0,10848.0,26.0,56.0,108.0,176.0,164.0,448.0,652.0,752.0,16.8032,40.5104,72.6124,105.392,3.5344,37.2992,38.352,80.7648,729.0,1242.0,1296.0,2268.0,1.0,6.0,8.0,16.0,36.0,84.0,144.0,216.0,1.5876,5.5692,7.7616,13.3056,0.0,-8.56,-5.36,-12.88,0.0,116.0,168.0,348.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,60.0,0.0,3.14,3.92,9.6,91.2838,176.001,261.8652,273.572,397.0,768.0,1020.0,884.0,13.0,26.0,38.0,42.0,64.0,150.0,190.0,168.0,5.7333,12.7666,17.2678,16.611,10.9696,11.016,23.36373333,18.73866667,59.0,60.0,107.3333333,82.66666667,1.0,1.333333333,2.666666667,2.333333333,2.0,6.0,8.0,7.333333333,0.542766667,0.759733333,1.3,1.126966667,36.98,95.67333333,136.635076,129.9617427,0.0,0.92,1.48,1.91,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.333333333,-2.333333333,0.0,-0.04,0.213333333,0.193333333,0.0,-6.6,-4.671406667,-7.371406667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.0,18.92995564,0.0,0.0,9.46497782,16.39382248,0.0,9.46497782,5.464607492,15.45624406,4796.603179,11.38838,4.31822,11.38634,0.949126,0.6592,0.694534,145.455,245.256,615.8416,635.296,2484.0,5668.0,6624.0,7136.0,16.0,36.0,64.0,80.0,100.0,244.0,320.0,384.0,12.4592,30.7332,45.7408,55.4128,2.4025,26.226,15.81,37.138,625.0,1225.0,600.0,1400.0,1.0,5.0,4.0,8.0,25.0,45.0,60.0,100.0,1.9321,5.4349,4.2812,8.34,0.0,-9.17,-4.0,-11.56,0.0,76.0,76.0,144.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,20.0,0.0,3.04,2.48,5.12,144.0441,255.969,399.6456,462.213,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.1268,27.591,31.0002,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.0,18.8422744,0.0,0.0,9.4211372,16.3178883,0.0,9.4211372,5.439296098,15.38465262,4730.259587,11.249,4.50635,11.249,0.979267,0.6618,0.675812,147.7188,267.5904,629.3056,653.4592,2692.0,6060.0,6816.0,7392.0,16.0,36.0,64.0,80.0,100.0,244.0,320.0,384.0,11.7702,28.7,44.1392,53.8944,3.5344,31.8096,19.176,45.0448,729.0,1323.0,648.0,1512.0,1.0,5.0,4.0,8.0,25.0,45.0,60.0,100.0,1.5876,4.9266,3.8808,7.56,0.0,-7.52,-2.68,-8.92,0.0,86.0,84.0,160.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,20.0,0.0,2.39,1.96,4.08,144.0441,255.969,399.6456,462.213,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.1268,27.591,31.0002,11.8336,8.772,20.6056,17.544,64.0,48.0,112.0,96.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,0.5329,0.5621,1.095,1.1242,28.09,59.89,87.98,119.78,0.0,0.89,0.89,1.78,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-4.0,0.0,-0.04,-0.04,-0.08,0.0,-6.0,-6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,10.37945622,0.0,0.0,-1.211813046,10.30847324,0.0,0.0,0.0,13.0199,1393.081734,5.87733,4.42071,5.87661,3.74291,0.5696,0.152181,436.088,1016.7072,4112.6432,5075.0936,88488.0,235840.0,271872.0,442072.0,50.0,192.0,496.0,680.0,952.0,4384.0,7600.0,10296.0,54.9416,243.7312,466.5976,668.7688,1.9044,28.25136,41.57664,53.5992,8464.0,18179.2,15897.6,30102.4,1.0,7.2,10.4,13.6,54.4,230.4,291.2,339.2,2.89,12.0224,16.0208,22.1816,0.0,-10.536,-15.776,-20.072,0.0,464.8,784.0,924.0,0.0,0.0,0.0,0.0,0.0,24.8,41.6,47.2,0.0,5.168,8.256,10.072,52.1305,60.2688,142.0032,0.0,481.0,960.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.2552,6.1904,6.3948,0.0,10.4261,12.05376,28.40064,0.0,96.2,192.0,153.6,0.0,1.0,1.6,2.4,0.0,4.0,6.4,2.4,0.0,0.65104,1.23808,1.27896,0.0,147.472,212.0,67.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.42e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,10.41396298,0.0,0.0,-1.150817898,10.35018083,0.0,0.0,0.0,13.0769,1409.511974,5.88004,4.42278,5.88004,3.69928,0.574,0.155165,436.088,1016.7072,4112.6432,5075.0936,88488.0,235840.0,271872.0,442072.0,50.0,192.0,496.0,680.0,952.0,4384.0,7600.0,10296.0,54.9416,243.7312,466.5976,668.7688,1.9044,28.25136,41.57664,53.5992,8464.0,18179.2,15897.6,30102.4,1.0,7.2,10.4,13.6,54.4,230.4,291.2,339.2,2.89,12.0224,16.0208,22.1816,0.0,-10.536,-15.776,-20.072,0.0,464.8,784.0,924.0,0.0,0.0,0.0,0.0,0.0,24.8,41.6,47.2,0.0,5.168,8.256,10.072,52.1305,60.2688,142.0032,0.0,481.0,960.0,768.0,0.0,5.0,8.0,12.0,0.0,20.0,32.0,12.0,0.0,3.2552,6.1904,6.3948,0.0,10.4261,12.05376,28.40064,0.0,96.2,192.0,153.6,0.0,1.0,1.6,2.4,0.0,4.0,6.4,2.4,0.0,0.65104,1.23808,1.27896,0.0,147.472,212.0,67.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.42e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.0,11.0417,0.0,0.0,0.0,12.135,0.0,0.0,0.0,19.6509,2633.044322,4.82084,4.14331,4.80387,1.76082,0.494,0.280551,146.55175,252.523,724.8794,981.954,4041.0,7692.0,10124.0,5364.0,18.0,40.0,84.0,116.0,124.0,354.0,547.0,406.0,12.5446,33.0012,60.3956,65.7272,1.21,27.5,26.6475,42.1575,3249.0,3306.0,3249.0,4617.0,1.0,7.5,9.5,13.0,56.5,128.0,214.5,218.5,2.8561,9.32035,12.36235,15.1255,0.0,-16.75,-13.775,-24.025,0.0,369.5,484.5,660.0,0.0,0.0,0.0,0.0,0.0,39.5,43.0,69.0,0.0,7.16,8.74,13.02,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1.0,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,35.59711111,90.10703704,135.0922913,116.6774025,0.0,0.915333333,1.151777778,0.789407407,0.0,2.0,3.688888889,2.896296296,0.0,0.0,0.0,0.0,0.0,-2.0,-1.718518519,-0.925925926,0.0,-0.04,0.066962963,0.082814815,0.0,-6.506666667,-5.692371704,-3.121260593,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0.0,0.296666667,0.296666667,0.43,0.0,0.666666667,0.666666667,1.0,0.0,0.0,0.0,0.0,0.0,-0.666666667,-0.666666667,-1.0,0.0,-0.013333333,-0.013333333,-0.02,0.0,-2.0,-2.0,-2.7
144.0,11.036,0.0,0.0,0.0,12.056,0.0,0.0,0.0,19.561,2602.591363,4.80529,4.06893,4.80529,1.7876,0.4776,0.267174,146.59615,253.523,725.8484,981.954,4156.0,7808.0,10238.0,5364.0,18.0,40.0,84.0,116.0,124.0,354.0,547.0,406.0,12.3454,32.3394,59.5178,65.7272,1.2544,28.0,27.132,42.924,3364.0,3364.0,3306.0,4698.0,1.0,7.5,9.5,13.0,56.5,128.0,214.5,218.5,2.6569,8.98945,11.92345,14.5885,0.0,-16.6,-13.585,-23.765,0.0,377.0,494.0,673.0,0.0,0.0,0.0,0.0,0.0,39.5,43.0,69.0,0.0,6.71,8.17,12.24,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1.0,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,35.59711111,90.10703704,135.0922913,116.6774025,0.0,0.915333333,1.151777778,0.789407407,0.0,2.0,3.688888889,2.896296296,0.0,0.0,0.0,0.0,0.0,-2.0,-1.718518519,-0.925925926,0.0,-0.04,0.066962963,0.082814815,0.0,-6.506666667,-5.692371704,-3.121260593,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0.0,0.296666667,0.296666667,0.43,0.0,0.666666667,0.666666667,1.0,0.0,0.0,0.0,0.0,0.0,-0.666666667,-0.666666667,-1.0,0.0,-0.013333333,-0.013333333,-0.02,0.0,-2.0,-2.0,-2.7
144.0,11.008,0.0,0.0,0.0,12.002,0.0,0.0,0.0,19.473,2572.734126,4.7727,4.04921,4.7549,1.81243,0.5026,0.277307,146.61865,254.023,726.3329,981.954,4273.0,7924.0,10352.0,5364.0,18.0,40.0,84.0,116.0,124.0,354.0,547.0,406.0,12.7861,33.7733,61.4197,65.7272,1.2769,28.25,27.37425,43.30725,3481.0,3422.0,3363.0,4779.0,1.0,7.5,9.5,13.0,56.5,128.0,214.5,218.5,3.0976,9.7064,12.8744,15.752,0.0,-16.525,-13.49,-23.635,0.0,384.5,503.5,686.0,0.0,0.0,0.0,0.0,0.0,39.5,43.0,69.0,0.0,7.685,9.405,13.93,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1.0,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,35.59711111,90.10703704,135.0922913,116.6774025,0.0,0.915333333,1.151777778,0.789407407,0.0,2.0,3.688888889,2.896296296,0.0,0.0,0.0,0.0,0.0,-2.0,-1.718518519,-0.925925926,0.0,-0.04,0.066962963,0.082814815,0.0,-6.506666667,-5.692371704,-3.121260593,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0.0,0.296666667,0.296666667,0.43,0.0,0.666666667,0.666666667,1.0,0.0,0.0,0.0,0.0,0.0,-0.666666667,-0.666666667,-1.0,0.0,-0.013333333,-0.013333333,-0.02,0.0,-2.0,-2.0,-2.7
144.0,10.989,0.0,0.0,0.0,11.946,0.0,0.0,0.0,19.402,2546.989673,4.74458,4.0168,4.72731,1.84813,0.4864,0.263185,146.64135,254.523,726.8174,981.954,4392.0,8040.0,10466.0,5364.0,18.0,40.0,84.0,116.0,124.0,354.0,547.0,406.0,12.7161,33.5527,61.1271,65.7272,1.2996,28.5,27.6165,43.6905,3600.0,3480.0,3420.0,4860.0,1.0,7.5,9.5,13.0,56.5,128.0,214.5,218.5,3.0276,9.5961,12.7281,15.573,0.0,-16.45,-13.395,-23.505,0.0,392.0,513.0,699.0,0.0,0.0,0.0,0.0,0.0,39.5,43.0,69.0,0.0,7.535,9.215,13.67,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1.0,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,35.59711111,90.10703704,135.0922913,116.6774025,0.0,0.915333333,1.151777778,0.789407407,0.0,2.0,3.688888889,2.896296296,0.0,0.0,0.0,0.0,0.0,-2.0,-1.718518519,-0.925925926,0.0,-0.04,0.066962963,0.082814815,0.0,-6.506666667,-5.692371704,-3.121260593,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0.0,0.296666667,0.296666667,0.43,0.0,0.666666667,0.666666667,1.0,0.0,0.0,0.0,0.0,0.0,-0.666666667,-0.666666667,-1.0,0.0,-0.013333333,-0.013333333,-0.02,0.0,-2.0,-2.0,-2.7
144.0,10.962,0.0,0.0,0.0,11.868,0.0,0.0,0.0,19.307,2511.783088,4.73097,3.9715,4.71386,1.90641,0.4682,0.245593,146.71065,256.023,728.2709,981.954,4636.0,8272.0,10694.0,5364.0,18.0,40.0,84.0,116.0,124.0,354.0,547.0,406.0,12.6469,33.3321,60.8345,65.7272,1.3689,29.25,28.34325,44.84025,3844.0,3596.0,3534.0,5022.0,1.0,7.5,9.5,13.0,56.5,128.0,214.5,218.5,2.9584,9.4858,12.5818,15.394,0.0,-16.225,-13.11,-23.115,0.0,407.0,532.0,725.0,0.0,0.0,0.0,0.0,0.0,39.5,43.0,69.0,0.0,7.385,9.025,13.41,96.45486667,165.495,247.3212,245.8908,490.6666667,840.0,1204.0,1128.0,11.33333333,22.0,30.66666667,30.66666667,52.66666667,118.0,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1.0,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,35.59711111,90.10703704,135.0922913,116.6774025,0.0,0.915333333,1.151777778,0.789407407,0.0,2.0,3.688888889,2.896296296,0.0,0.0,0.0,0.0,0.0,-2.0,-1.718518519,-0.925925926,0.0,-0.04,0.066962963,0.082814815,0.0,-6.506666667,-5.692371704,-3.121260593,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16.0,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1.0,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,9.363333333,19.96333333,29.32666667,33.03666667,0.0,0.296666667,0.296666667,0.43,0.0,0.666666667,0.666666667,1.0,0.0,0.0,0.0,0.0,0.0,-0.666666667,-0.666666667,-1.0,0.0,-0.013333333,-0.013333333,-0.02,0.0,-2.0,-2.0,-2.7
