feature,importance
D_mc-chi-3,0.0396851150648781
f-sbu-chi-3,0.039256307244322365
D_mc-chi-2,0.037970824331515454
f-link-S-0,0.03712090893763315
mc-S-1,0.03659435502953058
mean_displacement_A,0.03632455794161242
f-link-Z-2,0.0357780758010581
f-sbu-chi-0,0.03508222032000958
f-sbu-S-0,0.03472194080737931
f-sbu-Z-3,0.03471204959066984
f-link-chi-0,0.034606890479006586
max_displacement_A,0.03416851733581579
cell_00_0,0.03298239562450574
mc-T-3,0.03253560584972676
mean_abs_charge_diff,0.03224784807945356
density_0,0.03208855660449769
cell_22_0,0.03207795318844383
opt_E,0.03204316047647115
f-link-Z-3,0.0319225164495284
VF_0,0.03188764727750396
f-link-S-1,0.03162423820782203
PLD_1,0.031565745312552934
f-link-Z-1,0.031290119803500493
cell_22_1,0.0312401430231269
LCD_0,0.031103940021375353
density_1,0.031007230833344834
PV_0,0.030905101695075262
f-link-Z-0,0.030495683862545652
f-link-S-3,0.02974012381383622
f-link-S-2,0.027220226993258035
