feature,importance
D_mc-chi-3,0.06406930222589048
D_mc-chi-2,0.06249285103877029
f-sbu-chi-3,0.059203882274226995
f-sbu-S-0,0.055620576837403145
f-link-S-0,0.05354452600544737
cell_00,0.052149695089846536
density,0.05204492189759609
VF,0.05134846287069203
cell_22,0.05095043870788109
f-link-Z-2,0.05029454607484599
cell_11,0.04996180371755632
f-link-chi-0,0.0467592654691327
Di,0.04662703297655764
Df,0.04596711832831703
f-link-Z-3,0.04500886816280103
f-link-S-1,0.04482611219476344
Dif,0.04321127830320098
f-link-Z-0,0.042916065418852976
f-link-Z-1,0.04289210607137231
f-link-S-2,0.04011114633484557
